Strain,Size
MM-CP/+,35.22617209
MM-CP/+,35.40284157
MM-CP/+,35.41018629
MM-CP/+,35.76326206
MM-CP/+,35.76326206
MM-CP/+,35.81168488
MM-CP/+,35.81168488
MM-CP/+,36.3591963
MM-CP/+,36.51377981
MM-CP/+,36.52089556
MM-CP/+,36.52089556
MM-CP/+,36.5422456
MM-CP/+,37.04857433
MM-CP/+,37.05324985
MM-CP/+,37.37458914
MM-CP/+,37.66098823
MM-CP/+,37.79420542
MM-CP/+,38.3631213
MM-CP/+,38.36989409
MM-CP/+,38.38795959
MM-CP/+,38.93707208
MM-CP/+,39.08811385
MM-CP/+,39.62971641
MM-CP/+,39.87820721
MM-CP/+,40.2243798
MM-CP/+,40.46493858
MM-CP/+,40.91852307
MM-CP/+,41.68016793
MM-CP/+,41.85443809
MM-CP/+,42.62985522
MM-CP/+,43.91546303
MM-CP/+,44.67450267
MM-CP/+,45.03768465
MM-CP/+,45.03768465
MM-CP/+,45.7175117
MM-CP/+,46.47695239
MM-CP/MM-CP,16.95634236
MM-CP/MM-CP,8.157815974
MM-CP/MM-CP,8.531656334
MM-CP/MM-CP,8.672694357
MM-CP/MM-CP,8.692645844
MM-CP/MM-CP,8.840915764
MM-CP/MM-CP,8.850707527
MM-CP/MM-CP,9.419841675
MM-CP/MM-CP,9.554140127
MM-CP/MM-CP,9.629111371
MM-CP/MM-CP,9.674003948
MM-CP/MM-CP,9.826273007
MM-CP/MM-CP,9.83390811
MM-CP/MM-CP,9.991253427
MM-CP/MM-CP,9.99991886
MM-CP/MM-CP,10.17115887
MM-CP/MM-CP,10.17115887
MM-CP/MM-CP,10.33236071
MM-CP/MM-CP,10.33236071
MM-CP/MM-CP,10.42720098
MM-CP/MM-CP,10.53170798
MM-CP/MM-CP,10.5432773
MM-CP/MM-CP,10.5432773
MM-CP/MM-CP,10.5432773
MM-CP/MM-CP,10.80927564
MM-CP/MM-CP,10.85584661
MM-CP/MM-CP,11.03217075
MM-CP/MM-CP,11.03217075
MM-CP/MM-CP,11.06888356
MM-CP/MM-CP,11.06888356
MM-CP/MM-CP,11.07709056
MM-CP/MM-CP,11.13948824
MM-CP/MM-CP,11.21701081
MM-CP/MM-CP,11.23244389
MM-CP/MM-CP,11.23244389
MM-CP/MM-CP,11.26326464
MM-CP/MM-CP,11.30461105
MM-CP/MM-CP,11.32254066
MM-CP/MM-CP,11.32254066
MM-CP/MM-CP,11.39330042
MM-CP/MM-CP,11.41610252
MM-CP/MM-CP,11.42368718
MM-CP/MM-CP,11.53552247
MM-CP/MM-CP,11.53552247
MM-CP/MM-CP,11.53552247
MM-CP/MM-CP,11.53552247
MM-CP/MM-CP,11.53552247
MM-CP/MM-CP,11.62669025
MM-CP/MM-CP,11.64159767
MM-CP/MM-CP,11.64159767
MM-CP/MM-CP,11.81352675
MM-CP/MM-CP,11.81352675
MM-CP/MM-CP,11.81352675
MM-CP/MM-CP,11.81352675
MM-CP/MM-CP,11.81352675
MM-CP/MM-CP,11.82620918
MM-CP/MM-CP,11.86279015
MM-CP/MM-CP,11.89907114
MM-CP/MM-CP,11.9935477
MM-CP/MM-CP,12.00799969
MM-CP/MM-CP,12.00799969
MM-CP/MM-CP,12.18543087
MM-CP/MM-CP,12.18543087
MM-CP/MM-CP,12.18543087
MM-CP/MM-CP,12.18543087
MM-CP/MM-CP,12.18707879
MM-CP/MM-CP,12.21547454
MM-CP/MM-CP,12.21547454
MM-CP/MM-CP,12.3635479
MM-CP/MM-CP,12.37756789
MM-CP/MM-CP,12.41629853
MM-CP/MM-CP,12.46521388
MM-CP/MM-CP,12.46521388
MM-CP/MM-CP,12.46521388
MM-CP/MM-CP,12.4814764
MM-CP/MM-CP,12.4814764
MM-CP/MM-CP,12.4814764
MM-CP/MM-CP,12.54445622
MM-CP/MM-CP,12.66817975
MM-CP/MM-CP,12.68186296
MM-CP/MM-CP,12.70696646
MM-CP/MM-CP,12.70696646
MM-CP/MM-CP,12.70696646
MM-CP/MM-CP,12.70696646
MM-CP/MM-CP,12.70696646
MM-CP/MM-CP,12.7388535
MM-CP/MM-CP,12.7388535
MM-CP/MM-CP,12.7388535
MM-CP/MM-CP,12.7388535
MM-CP/MM-CP,12.7388535
MM-CP/MM-CP,12.7388535
MM-CP/MM-CP,12.75001104
MM-CP/MM-CP,12.89866319
MM-CP/MM-CP,12.89866319
MM-CP/MM-CP,13.05344047
MM-CP/MM-CP,13.05344047
MM-CP/MM-CP,13.05344047
MM-CP/MM-CP,13.05344047
MM-CP/MM-CP,13.06897104
MM-CP/MM-CP,13.06897104
MM-CP/MM-CP,13.06897104
MM-CP/MM-CP,13.06897104
MM-CP/MM-CP,13.08541332
MM-CP/MM-CP,13.26921443
MM-CP/MM-CP,13.29563483
MM-CP/MM-CP,13.29975351
MM-CP/MM-CP,13.29975351
MM-CP/MM-CP,13.29975351
MM-CP/MM-CP,13.29975351
MM-CP/MM-CP,13.48153534
MM-CP/MM-CP,13.48973311
MM-CP/MM-CP,13.48973311
MM-CP/MM-CP,13.48973311
MM-CP/MM-CP,13.50258381
MM-CP/MM-CP,13.5265991
MM-CP/MM-CP,13.5265991
MM-CP/MM-CP,13.66207147
MM-CP/MM-CP,13.68109276
MM-CP/MM-CP,13.71272641
MM-CP/MM-CP,13.80858815
MM-CP/MM-CP,13.80858815
MM-CP/MM-CP,13.83793693
MM-CP/MM-CP,13.83793693
MM-CP/MM-CP,13.83793693
MM-CP/MM-CP,13.84479556
MM-CP/MM-CP,14.00658522
MM-CP/MM-CP,14.02512481
MM-CP/MM-CP,14.02512481
MM-CP/MM-CP,14.08493273
MM-CP/MM-CP,14.12807198
MM-CP/MM-CP,14.12807198
MM-CP/MM-CP,14.19096273
MM-CP/MM-CP,14.19096273
MM-CP/MM-CP,14.22755151
MM-CP/MM-CP,14.22755151
MM-CP/MM-CP,14.35595881
MM-CP/MM-CP,14.3790144
MM-CP/MM-CP,14.42113331
MM-CP/MM-CP,14.42715231
MM-CP/MM-CP,14.44048923
MM-CP/MM-CP,14.44048923
MM-CP/MM-CP,14.44048923
MM-CP/MM-CP,14.44048923
MM-CP/MM-CP,14.44048923
MM-CP/MM-CP,14.77727597
MM-CP/MM-CP,14.80121024
MM-CP/MM-CP,14.80121024
MM-CP/MM-CP,14.80121024
MM-CP/MM-CP,15.0791117
MM-CP/MM-CP,15.08485472
MM-CP/MM-CP,15.2866242
MM-CP/MM-CP,15.2866242
MM-CP/MM-CP,15.29988809
MM-CP/MM-CP,15.4187496
MM-CP/MM-CP,15.4187496
MM-CP/MM-CP,15.46494979
MM-CP/MM-CP,15.49748415
MM-CP/MM-CP,15.49748415
MM-CP/MM-CP,15.74421286
MM-CP/MM-CP,15.80850146
MM-CP/MM-CP,15.80850146
MM-CP/MM-CP,15.80850146
MM-CP/MM-CP,15.890539
MM-CP/MM-CP,16.08831967
MM-CP/MM-CP,16.11351674
MM-CP/MM-CP,16.11351674
MM-CP/MM-CP,16.11351674
MM-CP/MM-CP,16.53599361
MM-CP/MM-CP,16.60943288
MM-CP/MM-CP,16.61040988
MM-CP/MM-CP,16.73111533
MM-CP/MM-CP,16.73111533
MM-CP/MM-CP,16.94794229
MM-CP/MM-CP,16.98381099
MM-CP/MM-CP,16.98381099
MM-CP/MM-CP,16.98381099
MM-CP/MM-CP,17.04342441
MM-CP/MM-CP,17.46663592
MM-CP/MM-CP,17.78884082
MM-CP/MM-CP,17.78884082
MM-CP/MM-CP,17.78884082
MM-CP/MM-CP,17.78884082
MM-CP/MM-CP,17.78884082
MM-CP/MM-CP,17.78884082
MM-CP/MM-CP,17.81163243
MM-CP/MM-CP,18.15007242
MM-CP/MM-CP,18.15007242
MM-CP/MM-CP,18.15007242
MM-CP/MM-CP,18.3722358
MM-CP/MM-CP,18.67882586
MM-CP/MM-CP,18.68968249
MM-CP/MM-CP,19.704087
MM-CP/MM-CP,20.0206798
MM-CP/MM-CP,20.93207226
MM-CP/MM-CP,21.12499866
