gene_id,log2foldchange,pvalue,padjust,gene_chr
AGAP012818,-3.8897140664338,3.33419910780146E-102,3.31852837199479E-98,AgamP4_UNKN
AGAP003900,-5.91113405550315,2.36302300288319E-94,1.17595839738482E-90,AgamP4_2R
AGAP001355,-4.00470277381136,3.00659869933231E-64,7.48116921361361E-61,AgamP4_2R
AGAP002803,4.11933419413124,7.31735671421591E-63,1.45659302753182E-59,AgamP4_2R
AGAP000737,-1.24168305074185,1.37160834022135E-50,2.27526963503718E-47,AgamP4_X
AGAP001364,-1.53799488523901,3.43996790348048E-43,4.89114293476304E-40,AgamP4_2R
AGAP010613,-2.01282012101641,7.13011887242629E-39,8.87075914215736E-36,AgamP4_3L
AGAP009165,2.50511724936238,1.67445882619348E-38,1.8517654107893E-35,AgamP4_3R
AGAP003289,-3.01040150015579,6.85274533911545E-38,6.82053743602161E-35,AgamP4_2R
AGAP029820,-0.963185638794367,2.28984313329309E-36,2.07189170051511E-33,AgamP4_2L
AGAP009448,3.37074905641865,3.54381997015094E-36,2.93930334690936E-33,AgamP4_3R
AGAP008922,2.26041693276001,6.64963602669215E-36,5.09106364412823E-33,AgamP4_3R
AGAP029601,-1.21355273062465,1.13693970187565E-34,8.08282918054882E-32,AgamP4_2R
AGAP008615,1.57064490994862,2.845783142756E-29,1.77025497624065E-26,AgamP4_3R
AGAP004115,-1.9337216019791,1.53372669826715E-28,8.97951872226643E-26,AgamP4_2R
AGAP028028,-3.15986908620748,1.64466113456719E-28,9.09406237352626E-26,AgamP4_3R
AGAP002058,-0.938594596684574,4.6776833952854E-28,2.45036751754082E-25,AgamP4_2R
AGAP011696,-3.3829004207194,9.07063776831451E-27,4.51400288540172E-24,AgamP4_3L
AGAP007736,-2.33413708431059,1.3911300526099E-26,6.59329400648875E-24,AgamP4_3R
AGAP009585,-1.99976000012863,1.48832611877408E-26,6.73332266370839E-24,AgamP4_3R
AGAP008532,-1.6942650977228,4.40095626017671E-26,1.90446598511038E-23,AgamP4_3R
AGAP001617,-1.43398007401128,1.62569752887462E-24,6.74190312703712E-22,AgamP4_2R
AGAP013155,-1.73169372902228,2.2856418465067E-24,9.09959731931249E-22,AgamP4_2R
AGAP001928,1.09577721806434,1.08269701173949E-22,4.14464744532428E-20,AgamP4_2R
AGAP006661,-1.72757316573879,1.58546924333635E-21,5.84450939960247E-19,AgamP4_2L
AGAP008542,-1.471902292948,2.15744546527214E-21,7.66894811280486E-19,AgamP4_3R
AGAP012469,-1.83480179687251,2.39078420054312E-21,8.205336257933E-19,AgamP4_UNKN
AGAP004255,-1.18941901440208,5.34124495607424E-21,1.7720470349269E-18,AgamP4_2R
AGAP028207,-4.86407094604825,7.48273342635162E-21,2.40244018685412E-18,AgamP4_3L
AGAP002578,2.72258870406854,9.91256518281154E-21,3.08311753951635E-18,AgamP4_2R
AGAP008873,-1.26482043221962,2.86689802134526E-20,8.64673818377253E-18,AgamP4_3R
AGAP029346,1.31619288824594,5.52161218501075E-20,1.61637076698271E-17,AgamP4_2L
