gene_id,log2foldchange,pvalue,padjust,gene_chr
AGAP001954,0.241844948835603,0.293884540029756,0.547094325523631,AgamP4_2R
AGAP007650,0.305039721740802,0.29395339625009,0.547094325523631,AgamP4_2L
AGAP029363,-0.177466751508819,0.293959307459346,0.547094325523631,AgamP4_2L
AGAP010488,0.124372401663399,0.293979670861452,0.547094325523631,AgamP4_3L
AGAP003294,-0.413066739943289,0.294054792614331,0.547094325523631,AgamP4_2R
AGAP007792,0.817068617550449,0.294102007338406,0.547094325523631,AgamP4_3R
AGAP007947,0.161170836254137,0.294185997406064,0.547094325523631,AgamP4_3R
AGAP012357,0.259467234474902,0.294195982959909,0.547094325523631,AgamP4_3L
AGAP005643,0.212623085189036,0.29446693620686,0.547468816299142,AgamP4_2L
AGAP001236,0.578312078549417,0.294511051525891,0.547468816299142,AgamP4_2R
AGAP010306,-0.59855809514539,0.294649573014633,0.547620617079107,AgamP4_3R
AGAP008515,-0.283058410752208,0.294837924709664,0.547738974515163,AgamP4_3R
AGAP009745,0.196349723841107,0.294844330927413,0.547738974515163,AgamP4_3R
AGAP006507,-2.32761608568154,0.294926212111752,0.547738974515163,AgamP4_2L
AGAP029297,0.427273951931063,0.294961117038745,0.547738974515163,AgamP4_3L
AGAP002327,0.207966379429782,0.294997618192311,0.547738974515163,AgamP4_2R
AGAP000654,-0.113388698393423,0.295226973627687,0.548059171744074,AgamP4_X
AGAP000571,-2.8044102598555,0.295417732515976,1,AgamP4_X
AGAP004763,-0.355735640134225,0.295552018241721,0.548380941014228,AgamP4_2L
AGAP001775,0.151676433710135,0.295553377696445,0.548380941014228,AgamP4_2R
AGAP004507,-0.121853630419771,0.295571120839462,0.548380941014228,AgamP4_2R
AGAP008352,-0.54288873329671,0.295855748315848,0.548782676406287,AgamP4_3R
AGAP028693,0.104696298578633,0.295964301583853,0.548782676406287,AgamP4_3L
AGAP000958,0.121057127061593,0.295987010376589,0.548782676406287,AgamP4_X
AGAP000547,0.132423027470323,0.296034590365387,0.548782676406287,AgamP4_X
AGAP001644,-0.201134068907664,0.296072555976229,0.548782676406287,AgamP4_2R
AGAP010821,-0.166783532055097,0.296262095019842,0.548962318175628,AgamP4_3L
AGAP006815,0.305210272858565,0.296291940457642,0.548962318175628,AgamP4_2L
AGAP008612,0.100129542733655,0.296340472660688,0.548962318175628,AgamP4_3R
AGAP001994,0.108281313566495,0.296480990616532,0.549117003966889,AgamP4_2R
AGAP003568,1.65757577881623,0.296521390184355,1,AgamP4_2R
AGAP002764,-0.146705632810273,0.296753404936464,0.549392031462466,AgamP4_2R
AGAP005422,0.163314560574346,0.296780178111796,0.549392031462466,AgamP4_2L
AGAP003531,-2.70469583774416,0.296843347950827,1,AgamP4_2R
AGAP001736,0.1756784474194,0.296846960760595,0.549392031462466,AgamP4_2R
AGAP010332,-0.238006918533141,0.296859947636638,0.549392031462466,AgamP4_3L
AGAP001534,0.118407356789085,0.296933822718217,0.549392031462466,AgamP4_2R
AGAP002326,1.57509953156212,0.296998693466924,1,AgamP4_2R
AGAP009004,-0.530833857007343,0.297024111489429,0.549392031462466,AgamP4_3R
AGAP002259,-0.723338471441923,0.297028793253562,0.549392031462466,AgamP4_2R
AGAP006041,-0.145688528586694,0.297209975447691,0.549575723710301,AgamP4_2L
AGAP007796,-0.240145818333604,0.297242232873737,0.549575723710301,AgamP4_3R
AGAP028499,-0.254154954573665,0.297359357181227,0.549595535453784,AgamP4_3L
AGAP005279,0.12344443755305,0.297367078730108,0.549595535453784,AgamP4_2L
AGAP008347,-0.591059068134247,0.297451784430372,0.549646610868939,AgamP4_3R
AGAP001669,-1.8160914894314,0.297462008250931,1,AgamP4_2R
AGAP012919,-1.63045937784542,0.2976960412193,1,AgamP4_UNKN
AGAP000779,-0.784979139232796,0.29788368399692,0.550275147817338,AgamP4_X
AGAP010851,-0.345981136857696,0.297956260510003,0.550275147817338,AgamP4_3L
AGAP001708,-0.500819274320725,0.298033949142556,0.550275147817338,AgamP4_2R
AGAP000500,0.137712935589149,0.298034532055341,0.550275147817338,AgamP4_X
AGAP002838,-0.120882010295139,0.298077608364973,0.550275147817338,AgamP4_2R
AGAP012839,-1.70002369137163,0.29818798155766,1,AgamP4_UNKN
AGAP005285,-0.99946739244229,0.298490398007083,0.550931587429325,AgamP4_2L
AGAP029451,-0.359911187421733,0.298569276291681,0.550971584588078,AgamP4_2R
AGAP005967,2.85409016527151,0.29860838845548,1,AgamP4_2L
AGAP029445,-0.115449107514343,0.298689084747898,0.551087083372991,AgamP4_3R
AGAP007643,0.1125860437142,0.298895267298927,0.551322719063356,AgamP4_2L
AGAP012879,0.706233687698243,0.298931288438256,0.551322719063356,AgamP4_UNKN
AGAP009751,-0.892991611337842,0.299102267761949,0.55144244365984,AgamP4_3R
AGAP011670,-0.356086747554155,0.29911071806448,0.55144244365984,AgamP4_3L
AGAP009910,0.223271238386374,0.2991772170889,0.551459479001569,AgamP4_3R
AGAP004480,-0.235839297760796,0.299300278968653,0.55158074755972,AgamP4_2R
AGAP011950,2.5041537468339,0.299373531462398,1,AgamP4_3L
AGAP028201,-0.199217217430161,0.29947575527877,0.55176482219839,AgamP4_3R
AGAP000676,-0.189974775480772,0.299514743064395,0.55176482219839,AgamP4_X
AGAP006726,0.202623411124987,0.299605708305553,0.551826845800493,AgamP4_2L
AGAP011087,1.57939970290517,0.299613200449824,1,AgamP4_3L
AGAP013128,0.23318098543286,0.299745119523437,0.551978058533503,AgamP4_2R
AGAP028380,-0.175695043189642,0.30003806236025,0.552314060080326,AgamP4_Mt
