gene_id,log2foldchange,pvalue,padjust,gene_chr
AGAP010613,-3.15917437025448,8.71600820026233E-46,8.84064711752608E-42,AgamP4_3L
AGAP012818,-4.16111684629123,9.74368915405326E-43,4.94151195447811E-39,AgamP4_UNKN
AGAP003900,-6.44474086700799,3.57989663682542E-39,1.21036305291067E-35,AgamP4_2R
AGAP007292,-3.01172061137842,6.25710650500143E-32,1.26931662560459E-28,AgamP4_2L
AGAP003257,-2.24902789220981,2.73087652442589E-22,3.79813409791132E-19,AgamP4_2R
AGAP009592,-4.51799546342922,2.99566920864543E-22,3.79813409791132E-19,AgamP4_3R
AGAP028567,-2.92203595916735,8.18122701832417E-21,9.22024284965134E-18,AgamP4_3R
AGAP008536,-1.64328780916355,4.48766577418971E-20,4.55183939476063E-17,AgamP4_3R
AGAP012469,-2.05499610418795,4.76612517713738E-19,4.39480069742768E-16,AgamP4_UNKN
AGAP028583,-3.59840271444571,2.19134195052783E-17,1.85223178368365E-14,AgamP4_UNKN
AGAP002803,4.20023796808741,2.78613899771003E-17,2.17383137336714E-14,AgamP4_2R
AGAP000737,-1.13941704218188,3.10183327343488E-16,2.24727820660357E-13,AgamP4_X
AGAP002317,1.70925868725015,9.54559216752641E-15,6.45472942368136E-12,AgamP4_2R
AGAP004293,-2.19997094674025,1.81657560402112E-14,1.15159539697414E-11,AgamP4_2R
AGAP029546,-1.65359748798792,4.73225899985957E-14,2.82348841385739E-11,AgamP4_3L
AGAP000206,-9.14737033593291,7.3558756702137E-14,4.14503594016542E-11,AgamP4_X
AGAP028028,-2.96171047590419,7.97134753392907E-14,4.25544094929698E-11,AgamP4_3R
AGAP007736,-1.89247052545091,3.88372275154789E-13,1.96962999344751E-10,AgamP4_3R
AGAP002950,-5.2267857237342,6.11624638090381E-13,2.95414700197654E-10,AgamP4_2R
AGAP012995,4.70879513333436,2.17005080765348E-12,1.00049206100133E-09,AgamP4_2R
AGAP012143,-1.49830074457182,6.32833870797725E-12,2.79079737021797E-09,AgamP4_3L
AGAP003069,-1.633698828555,6.71122601543157E-12,2.83633189477177E-09,AgamP4_2R
AGAP004984,1.29734059329658,8.41451489666142E-12,3.37547945489175E-09,AgamP4_2L
AGAP006191,2.70165988141072,8.65251560950267E-12,3.37547945489175E-09,AgamP4_2L
AGAP010400,-1.55349678027599,1.11896138176073E-11,4.20356492414781E-09,AgamP4_3L
AGAP006197,2.45368830218038,1.26619992889538E-11,4.58680924242353E-09,AgamP4_2L
AGAP013188,-1.72862982798144,9.2798972488047E-11,3.24572406188366E-08,AgamP4_2R
AGAP006661,-1.6835177462656,1.01981769057415E-10,3.44800361183121E-08,AgamP4_2L
AGAP011696,-3.4086712520231,1.44707323152468E-10,4.73473025398542E-08,AgamP4_3L
AGAP006792,2.18027874993282,1.6584242743711E-10,5.25668669217064E-08,AgamP4_2L
