Midgut,Strain,Count
350,Gam1-MM,0
351,Gam1-MM,0
352,Gam1-MM,0
353,Gam1-MM,0
354,Gam1-MM,0
355,Gam1-MM,0
356,Gam1-MM,0
357,Gam1-MM,0
358,Gam1-MM,0
359,Gam1-MM,0
360,Gam1-MM,0
361,Gam1-MM,0
362,Gam1-MM,0
363,Gam1-MM,0
364,Gam1-MM,0
365,Gam1-MM,0
366,Gam1-MM,0
367,Gam1-MM,0
368,Gam1-MM,0
369,Gam1-MM,0
370,Gam1-MM,0
371,Gam1-MM,0
372,Gam1-MM,0
373,Gam1-MM,0
374,Gam1-MM,0
375,Gam1-MM,0
376,Gam1-MM,0
377,Gam1-MM,0
378,Gam1-MM,0
379,Gam1-MM,0
380,Gam1-MM,0
381,Gam1-MM,0
382,Gam1-MM,0
383,Gam1-MM,0
384,Gam1-MM,0
385,Gam1-MM,0
386,Gam1-MM,0
387,Gam1-MM,0
388,Gam1-MM,0
389,Gam1-MM,0
390,Gam1-MM,0
391,Gam1-MM,0
392,Gam1-MM,0
393,Gam1-MM,0
394,Gam1-MM,0
395,Gam1-MM,0
396,Gam1-MM,0
397,Gam1-MM,0
398,Gam1-MM,0
399,Gam1-MM,0
400,Gam1-MM,0
401,Gam1-MM,0
402,Gam1-MM,1
403,Gam1-MM,1
404,Gam1-MM,1
405,Gam1-MM,1
406,Gam1-MM,1
407,Gam1-MM,1
408,Gam1-MM,1
409,Gam1-MM,1
410,Gam1-MM,1
411,Gam1-MM,1
412,Gam1-MM,1
413,Gam1-MM,1
414,Gam1-MM,2
415,Gam1-MM,2
416,Gam1-MM,2
417,Gam1-MM,2
418,Gam1-MM,2
419,Gam1-MM,2
420,Gam1-MM,2
421,Gam1-MM,3
422,Gam1-MM,3
423,Gam1-MM,3
424,Gam1-MM,4
425,Gam1-MM,4
426,Gam1-MM,4
427,Gam1-MM,4
428,Gam1-MM,4
429,Gam1-MM,5
430,Gam1-MM,5
431,Gam1-MM,6
432,Gam1-MM,6
