ontology,GO,description,hours,gene
CC,GO:0019866,organelle inner membrane,20,AGAP009865
CC,GO:0019866,organelle inner membrane,20,AGAP010337
CC,GO:0019866,organelle inner membrane,20,AGAP010573
CC,GO:0019866,organelle inner membrane,20,AGAP010691
CC,GO:0019866,organelle inner membrane,20,AGAP011131
CC,GO:0019866,organelle inner membrane,20,AGAP011159
CC,GO:0019866,organelle inner membrane,20,AGAP011696
CC,GO:0019866,organelle inner membrane,20,AGAP011829
CC,GO:0019866,organelle inner membrane,20,AGAP012081
CC,GO:0019866,organelle inner membrane,20,AGAP012106
CC,GO:0019866,organelle inner membrane,20,AGAP012145
CC,GO:0019866,organelle inner membrane,20,AGAP012188
CC,GO:0019866,organelle inner membrane,20,AGAP012374
CC,GO:0019866,organelle inner membrane,20,AGAP012533
CC,GO:0019866,organelle inner membrane,20,AGAP012705
CC,GO:0019866,organelle inner membrane,20,AGAP012770
CC,GO:0019866,organelle inner membrane,20,AGAP013336
CC,GO:0019866,organelle inner membrane,20,AGAP028364
CC,GO:0019866,organelle inner membrane,20,AGAP028366
CC,GO:0019866,organelle inner membrane,20,AGAP028371
CC,GO:0019866,organelle inner membrane,20,AGAP028383
CC,GO:0019866,organelle inner membrane,20,AGAP028387
CC,GO:0005743,mitochondrial inner membrane,20,AGAP000118
CC,GO:0005743,mitochondrial inner membrane,20,AGAP000170
CC,GO:0005743,mitochondrial inner membrane,20,AGAP000260
CC,GO:0005743,mitochondrial inner membrane,20,AGAP000291
CC,GO:0005743,mitochondrial inner membrane,20,AGAP000523
CC,GO:0005743,mitochondrial inner membrane,20,AGAP000618
CC,GO:0005743,mitochondrial inner membrane,20,AGAP000849
CC,GO:0005743,mitochondrial inner membrane,20,AGAP000851
CC,GO:0005743,mitochondrial inner membrane,20,AGAP000935
CC,GO:0005743,mitochondrial inner membrane,20,AGAP001138
CC,GO:0005743,mitochondrial inner membrane,20,AGAP001711
CC,GO:0005743,mitochondrial inner membrane,20,AGAP002020
CC,GO:0005743,mitochondrial inner membrane,20,AGAP002170
CC,GO:0005743,mitochondrial inner membrane,20,AGAP002245
CC,GO:0005743,mitochondrial inner membrane,20,AGAP002630
CC,GO:0005743,mitochondrial inner membrane,20,AGAP002788
CC,GO:0005743,mitochondrial inner membrane,20,AGAP002889
CC,GO:0005743,mitochondrial inner membrane,20,AGAP002906
CC,GO:0005743,mitochondrial inner membrane,20,AGAP003199
CC,GO:0005743,mitochondrial inner membrane,20,AGAP003231
CC,GO:0005743,mitochondrial inner membrane,20,AGAP003325
CC,GO:0005743,mitochondrial inner membrane,20,AGAP003900
