ontology,GO,description,hours,gene
MF,GO:0046914,transition metal ion binding,6,AGAP028511
MF,GO:0046914,transition metal ion binding,6,AGAP029263
MF,GO:0046914,transition metal ion binding,6,AGAP029680
MF,GO:0046914,transition metal ion binding,6,AGAP029691
MF,GO:0046872,metal ion binding,6,AGAP000092
MF,GO:0046872,metal ion binding,6,AGAP000179
MF,GO:0046872,metal ion binding,6,AGAP000314
MF,GO:0046872,metal ion binding,6,AGAP000476
MF,GO:0046872,metal ion binding,6,AGAP000577
MF,GO:0046872,metal ion binding,6,AGAP000634
MF,GO:0046872,metal ion binding,6,AGAP000935
MF,GO:0046872,metal ion binding,6,AGAP001037
MF,GO:0046872,metal ion binding,6,AGAP001065
MF,GO:0046872,metal ion binding,6,AGAP001076
MF,GO:0046872,metal ion binding,6,AGAP001209
MF,GO:0046872,metal ion binding,6,AGAP001272
MF,GO:0046872,metal ion binding,6,AGAP001296
MF,GO:0046872,metal ion binding,6,AGAP001421
MF,GO:0046872,metal ion binding,6,AGAP001435
MF,GO:0046872,metal ion binding,6,AGAP001480
MF,GO:0046872,metal ion binding,6,AGAP001645
MF,GO:0046872,metal ion binding,6,AGAP001864
MF,GO:0046872,metal ion binding,6,AGAP001877
MF,GO:0046872,metal ion binding,6,AGAP001881
MF,GO:0046872,metal ion binding,6,AGAP002016
MF,GO:0046872,metal ion binding,6,AGAP002036
MF,GO:0046872,metal ion binding,6,AGAP002129
MF,GO:0046872,metal ion binding,6,AGAP002339
MF,GO:0046872,metal ion binding,6,AGAP002375
MF,GO:0046872,metal ion binding,6,AGAP002379
MF,GO:0046872,metal ion binding,6,AGAP002418
MF,GO:0046872,metal ion binding,6,AGAP002465
MF,GO:0046872,metal ion binding,6,AGAP002475
MF,GO:0046872,metal ion binding,6,AGAP002578
MF,GO:0046872,metal ion binding,6,AGAP002741
MF,GO:0046872,metal ion binding,6,AGAP002800
MF,GO:0046872,metal ion binding,6,AGAP002801
MF,GO:0046872,metal ion binding,6,AGAP002858
MF,GO:0046872,metal ion binding,6,AGAP002883
MF,GO:0046872,metal ion binding,6,AGAP002929
MF,GO:0046872,metal ion binding,6,AGAP002933
MF,GO:0046872,metal ion binding,6,AGAP002956
