event,day,strain,sex,feeding,Replicate,outcome
1105,26,WT,female,sugar,3,1
1106,26,WT,female,sugar,3,1
1107,26,WT,female,sugar,3,1
1108,27,WT,female,sugar,3,1
1109,27,WT,female,sugar,3,1
1110,28,WT,female,sugar,3,1
1111,28,WT,female,sugar,3,1
1112,28,WT,female,sugar,3,1
1113,29,WT,female,sugar,3,1
1114,29,WT,female,sugar,3,1
1115,29,WT,female,sugar,3,1
1116,29,WT,female,sugar,3,1
1117,29,WT,female,sugar,3,1
1118,29,WT,female,sugar,3,1
1119,31,WT,female,sugar,3,1
1120,31,WT,female,sugar,3,1
1121,31,WT,female,sugar,3,1
1122,32,WT,female,sugar,3,1
1123,32,WT,female,sugar,3,1
1124,33,WT,female,sugar,3,1
1125,34,WT,female,sugar,3,1
1126,35,WT,female,sugar,3,1
1127,35,WT,female,sugar,3,1
1128,35,WT,female,sugar,3,1
1129,38,WT,female,sugar,3,1
